time,open,high,low,close,volume
2021-02-23 07:17:00,191.5,191.5,191.5,191.5,283
2021-02-23 07:16:00,191.65,191.65,191.65,191.65,276
2021-02-23 07:12:00,191.1,191.5,191.1,191.5,403
2021-02-23 07:11:00,190.5,190.5,190.5,190.5,211
2021-02-23 07:10:00,190.99,190.99,190.99,190.99,1058
2021-02-23 07:05:00,190.07,190.07,190.07,190.07,280
2021-02-23 07:04:00,191.0,191.0,191.0,191.0,556
2021-02-23 07:03:00,191.0,191.0,191.0,191.0,193
2021-02-23 07:02:00,191.0,191.0,191.0,191.0,4051
2021-02-23 07:01:00,190.9,191.0,190.9,191.0,2617
2021-02-23 07:00:00,190.0,190.0,190.0,190.0,161
2021-02-23 06:47:00,188.99,188.99,188.99,188.99,732
2021-02-23 06:46:00,188.5,188.5,188.5,188.5,414
2021-02-23 06:40:00,187.77,187.77,187.77,187.77,206
2021-02-23 06:39:00,187.77,187.77,187.77,187.77,122
2021-02-23 06:32:00,186.5,186.5,186.5,186.5,305
2021-02-23 06:17:00,185.24,185.7,185.24,185.7,1614
2021-02-23 06:16:00,184.0,185.0,184.0,185.0,577
2021-02-23 06:15:00,184.0,184.0,184.0,184.0,300
2021-02-23 06:13:00,183.5,183.5,183.5,183.5,424
2021-02-23 06:10:00,182.75,182.75,182.75,182.75,357
2021-02-23 06:06:00,182.58,182.58,182.0,182.0,1012
2021-02-23 05:48:00,181.29,182.47,181.29,182.47,1277
2021-02-23 05:43:00,181.29,181.29,180.5,180.5,544
2021-02-23 05:39:00,180.68,180.68,180.06,180.06,1859
2021-02-23 05:38:00,181.29,181.29,181.29,181.29,484
2021-02-23 05:36:00,181.29,181.29,181.29,181.29,1192
2021-02-23 05:33:00,185.1,185.1,185.08,185.08,376
2021-02-23 05:31:00,188.0,188.0,188.0,188.0,190
2021-02-23 05:29:00,188.0,188.0,188.0,188.0,752
2021-02-23 05:27:00,190.01,190.01,190.01,190.01,470
2021-02-23 05:24:00,190.25,190.25,190.25,190.25,106
2021-02-23 05:22:00,191.11,191.11,190.8,190.8,239
2021-02-23 05:21:00,191.11,191.11,191.11,191.11,274
2021-02-23 05:12:00,192.05,192.05,192.05,192.05,527
2021-02-23 04:25:00,195.5,195.5,195.5,195.5,515
2021-02-23 04:18:00,195.29,195.29,195.25,195.25,780
2021-02-23 04:15:00,195.28,195.28,195.25,195.25,667
